;zcrAvg;changeSign;energyValue;rmseValue;centAvg;mfcc1;mfcc2;mfcc3;mfcc4;mfcc5;mfcc6;mfcc7;mfcc8;mfcc9;mfcc10;mfcc11;mfcc12;mfcc13;mfcc14;mfcc15;mfcc16;mfcc17;mfcc18;mfcc19;mfcc20;mfcc21;mfcc22;mfcc23;mfcc24;mfcc25;mfcc26;mfcc27;mfcc28;mfcc29;mfcc30;mfcc31;mfcc32;mfcc33;mfcc34;mfcc35;mfcc36;mfcc37;mfcc38;mfcc39;mfcc40;rolloff;mfcc_delta1;mfcc_delta2;mfcc_delta3;mfcc_delta4;mfcc_delta5;mfcc_delta6;mfcc_delta7;mfcc_delta8;mfcc_delta9;mfcc_delta10;mfcc_delta11;mfcc_delta12;mfcc_delta13;mfcc_delta14;mfcc_delta15;mfcc_delta16;mfcc_delta17;mfcc_delta18;mfcc_delta19;mfcc_delta20;mfcc_delta21;mfcc_delta22;mfcc_delta23;mfcc_delta24;mfcc_delta25;mfcc_delta26;mfcc_delta27;mfcc_delta28;mfcc_delta29;mfcc_delta30;mfcc_delta31;mfcc_delta32;mfcc_delta33;mfcc_delta34;mfcc_delta35;mfcc_delta36;mfcc_delta37;mfcc_delta38;mfcc_delta39;mfcc_delta40;chroma_stft1;chroma_stft2;chroma_stft3;chroma_stft4;chroma_stft5;chroma_stft6;chroma_stft7;chroma_stft8;chroma_stft9;chroma_stft10;chroma_stft11;chroma_stft12;spectral_flux;spectral_bandwidth_2;spectral_bandwidth_3;spectral_bandwidth_4
zcrAvg;1.0;0.9357516669997261;0.015639504961606335;0.07762355258906127;0.8246558061602369;0.5484826928726451;-0.600742121386788;-0.2713807030492193;0.1890256439096817;-0.30445849081052084;0.16468440221479266;-0.3056762136899282;0.08976844897615086;-0.2508195935091291;0.044811872379886805;-0.21465164231538575;-0.01813700725519053;-0.20289109761075927;0.0273016495469724;-0.19279775677189498;-0.04947145305516079;-0.10104979903895057;-0.06968710820578669;-0.15726490683299252;0.03475507094668153;-0.12732050448020824;0.02349717551511555;-0.07487889437911387;-0.017502571832515485;-0.04545593649245034;-0.013086248508099212;-0.07406125526473088;0.01964672224291629;-0.12810846621768254;0.03570194152877864;-0.09143877709306715;0.08495606261018729;-0.15309822647540666;0.09877719976988894;-0.14795480102792463;0.0928814652951412;-0.09353756150148652;0.030945216542330605;-0.11521910702370254;0.10343083563288438;0.7165099536614881;0.022136427266117323;0.011570926938162083;0.006383033425859221;0.02605100735397994;0.0061135011670637365;0.03738646321971819;-0.004406883606334219;0.008234643615681847;0.008559639680020926;-0.00830163557867109;-0.0208602684108424;-0.006353690442781687;0.006696174236939017;-0.010637061398371202;-0.01852638576896715;-0.026965933334870774;-0.00685910984953279;0.00907069715900391;0.008401845462566036;0.017595602533760676;0.00863734173927888;-0.0017020977292601985;0.0011974474467221741;0.009652220701106688;0.007721039488769667;-0.004966552685310673;-0.009664106207003208;-0.0076547043719372475;-0.0034513431135663112;-0.01771463620806466;-0.010288461392134773;0.00415038608062268;-0.014330719792185807;-0.011403579270701339;0.008518538091542915;-0.000915428712770854;-0.008251986807558289;0.002435827981507858;-0.004709488702280909;0.006569698677327599;-0.00693990397109344;-0.0206290705180359;-0.03581456689174205;-0.03623660935217466;-0.021369080800629794;-0.01054168512537197;0.011052010035486908;-0.029073718685066398;-0.04200524323002001;-0.017157991062979796;0.024481064598645894;0.010564135501636875;0.17368846044863234;0.4338844396294941;0.25093922426745763;0.08452051436589174
changeSign;0.9357516669997261;1.0;0.03909678433685665;0.048291492674122846;0.7558214179827663;0.5264647138054197;-0.5411067141892311;-0.267510169786153;0.19335378093905384;-0.2904432368377287;0.16469348830301403;-0.26349168465578127;0.10257185544189375;-0.22878079453977246;0.04780341409950958;-0.177174555875865;-0.02439585997445752;-0.175874379716485;0.04302703744722745;-0.19333372462948367;-0.044658371742469435;-0.10795665458874783;-0.06121048748388865;-0.16506186066185696;0.011478670194660581;-0.142164153139944;0.0029550865558310613;-0.08265023760405592;-0.028167069152943668;-0.03865093538865177;-0.025008392587404168;-0.0663361932905263;0.007364607370016419;-0.14060122369836484;0.03791927289654638;-0.07725286281291804;0.07639545714612545;-0.14482928359063135;0.05137124828681103;-0.17148563322357438;0.10752520267652614;-0.08700885049680322;0.03325964352445564;-0.14964707919737705;0.05750230995085829;0.6597569079062927;0.047676707954652765;-0.020221701124534038;0.014216372057335643;0.04313573145203021;0.010013835939189083;0.04343575889297652;-0.034776264862767046;-0.01687443762114412;-0.03655061328592959;-0.02528751964304607;-0.03529580737730452;-0.028660165201877315;-0.028934460862672692;-0.03547795854792049;-0.03431474652061416;-0.038990096272313986;-0.03456907815692455;0.0014014106476651805;0.01800044272572652;0.017686832079173872;-0.003945635965664876;0.002718649727433849;0.0028398918379642837;0.0035093575942233223;-0.007981927775831944;-0.0025947170080058506;-0.013284298423273297;-0.0039531937003034435;-0.017491616690429868;0.0002735864934897385;0.004327786863468757;0.003990354959547994;0.000645415706901368;0.005648285844598322;0.00731630547876281;0.0008625540269367594;-0.013386987703424372;-0.02487978027669628;-0.025335469094666135;-0.014547825352934928;-0.01382358316871528;-0.012997479619482433;-0.02031480717777409;-0.03550633227672029;-0.018437168627053312;-0.0020785422091697133;0.015450343271023959;-0.030139096119112075;-0.0538576883242562;-0.023572810056971344;0.01621385364694741;0.00618744145006821;0.12316014795854816;0.394848536574563;0.22435008762814362;0.07008919618843347
energyValue;0.015639504961606335;0.03909678433685665;1.0;0.8118045778176374;-0.059989144527270014;0.3955996397054144;0.06153788082008779;-0.09166599929356063;0.010626788173517523;-0.012410848273443164;-0.13571527828340685;0.10485368155332092;-0.1336003653900733;-0.03096716863178479;-0.03282043561113486;-0.13393533109772388;-0.013954616196372236;0.06418282704454573;-0.1440460502277182;0.02197197660405464;-0.05104401628075844;0.0019644297344369125;0.011379647361039233;-0.07209670428414636;0.03565106654810938;0.03947649139559692;-0.03971195242449395;-0.0005282238624209289;-0.05073878438510104;0.022294389459762653;-0.024757114397747096;-0.10926149776932434;-0.04136410375458726;-0.00471286334201791;-0.07294231302530595;0.06292234745013954;-0.10180160694370044;0.022186256912886004;-0.049138395412853045;0.007483709257069117;0.013862931306922606;-0.06102086625672742;-0.09766819383437686;0.018914908271012533;-0.03754829124369903;-0.05743589727526103;0.014740463777602209;-0.01082212666895298;0.009708498472371603;0.007469014712639468;0.0007325532986373461;0.008195570083074638;-0.008217203998087026;-0.018198266566754277;-0.01110995052340154;-0.00812828137479807;-0.013758881234767218;-0.018856605287816314;-0.008328451874934976;-0.018050262167596434;-0.01957606146650666;-0.01831257408042575;-0.017480466472916158;-0.0028115210891201826;0.0066494896515326375;0.003725892006891295;0.0022796700450288866;0.007977680414487829;0.0022995751620229353;-0.005556056696675388;-0.00923253873529355;-0.001447724058489093;-0.007417638815225856;-0.000675463883905501;-0.011517032859983949;-0.0005563377165240567;0.005679499655742225;-0.00040124366865232244;0.006755474024653522;-0.002082723976942651;0.00014866907942696564;0.0036598009278383374;0.007750016762965927;-0.006225185877004108;-0.011434816178953628;-0.012445553649838959;-0.06516221819879124;-0.05498462414822081;-0.059526784116222135;-0.07776937894936035;-0.06413687161318984;-0.01173930537657602;0.040359280158709196;0.024956489666976688;-0.04126141893960354;-0.07501678155510931;-0.07659820067094773;-0.050455761122262875;0.15020023766532595;-0.125585020700023;-0.15372039547447935;-0.16319869432880307
rmseValue;0.07762355258906127;0.048291492674122846;0.8118045778176374;1.0;-0.04726824635472085;0.5661509394651436;0.00025872767821772416;-0.14674987871501483;-0.02872716437808287;-0.10279956435299281;-0.1377288492691676;0.013605319747778488;-0.13599247530173958;-0.002881613089764986;-0.09307679339391522;-0.10339574794851546;-0.029718752719142358;0.03961765424043177;-0.13918474901283748;0.02354788968183008;-0.0783156730313213;0.026547464653718378;0.019143733217257448;0.00666488492050371;0.05568986591392764;0.07269822953982732;0.04080253511353684;0.017464327577904434;-0.003940300260216711;0.04498047723605159;-0.053203371835837135;-0.08057429525052728;-0.055065388908424114;0.02333214417601536;-0.047637296211681765;0.08964657452771022;-0.09075121488939254;0.08547358781131165;0.013387533273836608;0.07041898709559458;0.027321109845933344;-0.04504254145592651;-0.07388789097617991;0.10335825790069492;0.04075030161728051;-0.04841899236524851;-0.055906811830715115;0.003012497345949378;-0.05786314756751905;-0.045568682033007464;-0.04803390586884896;-0.08923236206135367;0.043927877557521186;-0.03745593220516602;0.031401774687677346;-0.0017214032970196433;0.034911611574619715;0.005746689141523836;0.019797664882851097;0.036286155876992666;0.008947145092047725;0.018908648305625133;0.01190389844804001;0.01528775413469736;0.0031000982077638408;-0.0059606135985849395;0.003015948050345434;-0.01366258673743114;0.0018654174043651521;-0.024485750285657516;-0.015874493988857194;0.006154547368938914;0.0005223538992243428;-0.005414513994073342;0.018975051112672833;0.00831814119141252;0.005494485647563605;-0.0026274161147886227;0.019150497543597135;-0.005943167806492745;-0.016413202253899643;0.01586164010469545;0.039881498751952446;0.04155709247680055;0.031615964991724706;0.008184237153741308;-0.059181304407262596;-0.070242176845288;-0.07512837714666706;-0.07286096836531498;-0.07152648984811763;-0.03213557488447982;0.023797895058129293;0.02695579465344479;-0.0074351851300620865;-0.05603340571435652;-0.05588068134970165;-0.030232810830143852;0.15151466489398976;-0.16132249262308124;-0.21631093978900742;-0.24682196212806676
centAvg;0.8246558061602369;0.7558214179827663;-0.059989144527270014;-0.04726824635472085;1.0;0.3639887968553083;-0.8329385073339117;-0.0462435348517779;0.1955146403966709;-0.23996741193107396;0.22580055822570308;-0.28258422493137203;0.1150997537577263;-0.28793259660715237;0.1676939358539848;-0.2014265343749066;0.051171033757627576;-0.1847445419151205;0.12909005193565581;-0.16842905981224857;0.05937494852238164;-0.07736497496357288;0.026627984904055487;-0.14774277233229738;0.12646844895568277;-0.09534887669444836;0.09536609494799274;-0.052165748364188795;0.09094061008308185;-0.0352826876323058;0.07180417487561473;-0.026293532957206194;0.07198893703520425;-0.10463762466542181;0.14046026604736156;-0.0863667174978552;0.18641768787718532;-0.10973316125616045;0.15927189902175845;-0.14984711746129487;0.11890164701326655;-0.05704864103916775;0.07123586097580392;-0.10799113680174822;0.09468413201870167;0.9634748263139085;-0.009059115338750381;0.009645949158481376;-0.006707503719659876;0.02094902481476279;0.0006165170005542639;0.03876656167161289;0.01011668464445213;0.003650334770032762;0.023644436360238587;-0.006438259998682307;-0.010951683010495114;0.0066325305733890266;0.02447511193853558;0.005770324890831445;-0.0012011860460588678;-0.01478677618523349;0.0017085127462301616;0.0030416176151082885;0.0023754123294847844;0.01681817578826704;0.017339953360156375;0.002659701464096354;0.013355989692330978;0.018235747405130162;0.018180619557305534;-0.0013609444260079214;0.003714428172213588;-0.00830427305985621;0.0034577918101593103;-0.01723458060523507;-0.007578689997733298;-0.010396459100630062;-0.018891876172213454;-0.0022075272454213017;0.023494837145829773;0.012924014949017498;0.0029434473078894406;0.005933972676527588;0.004548214041246;0.01587469763274255;0.10433043407705019;0.09745097554386464;0.055741455762922894;0.06606753085958905;0.08795848758513557;0.08211913375575504;0.11719419004811503;0.08228239054892589;0.06761248778191406;0.09838113205621722;0.13009154703071937;0.10281456485789471;0.21639349755017695;0.7981812345496166;0.6299425169206047;0.4532319608008845
mfcc1;0.5484826928726451;0.5264647138054197;0.3955996397054144;0.5661509394651436;0.3639887968553083;1.0;-0.14633735220476912;-0.3784655381888436;0.3120609121071084;-0.336838340808908;0.19573796745933417;-0.2357729548542088;0.060076972921703775;-0.2065443570209623;0.0034620959092501874;-0.20073116755491596;-0.02629314682275022;-0.18668033224844266;-0.08908326359984452;-0.1469095739486968;-0.12915351537683242;-0.129220598542041;-0.06358011412660834;-0.14991465099358295;-0.024953661656450084;-0.08422048816454827;0.039303997923415775;-0.12108421643086867;-0.019402960285742822;-0.06404848063630444;-0.08901588344215615;-0.11893230976613632;-0.07902685513116874;-0.10731588856209993;-0.02489841584113672;0.0016129938469509788;-0.014439358118344387;-0.06889909377504884;0.04716660775840019;-0.10041729248635267;0.07133072915887746;-0.11443973582603395;-0.028835916176812148;-0.048176480403531605;0.04253598187671076;0.3698010327374358;0.013673574331566879;0.023720591507782145;-0.01684759760310333;0.015567548780606979;0.0062053841233952476;0.001243447618415474;0.007049492282725052;-0.014199727910279522;-0.0019331371523581438;-0.02417947965101955;-0.022809058982439526;-0.029384761671808965;-0.01348632006378112;-0.007389769229337667;-0.011145971321489917;-0.02389511747462441;-0.02128561625907918;-0.003925931568577747;0.0030926582603871006;0.007689379966190309;0.0052434121389810665;0.009654172008563172;0.008652468248694617;-0.006181358438856781;0.0015765741706305007;-0.0010392188394507682;-0.014009770827808974;-0.014868140249171859;-0.009199427643920993;-0.017032143961858166;-0.01725804677477024;0.0005941907570298963;-0.005483306642601388;-0.00593591601011155;-0.015059298241053577;-0.006279680046211627;0.005825015589515905;0.012315931633395215;0.007301330330245723;-0.0038248296768134244;0.09172841899467091;0.062277445484605023;0.04195489769106973;0.02856124023180727;0.02936539405174192;0.08117985330759461;0.1379076043528686;0.14893792853625895;0.1338527018863124;0.11752691499001029;0.12769175152851603;0.12660985371577715;0.18829127774279747;0.15967629451278417;0.008238052388604129;-0.10787851010743892
mfcc2;-0.600742121386788;-0.5411067141892311;0.06153788082008779;0.00025872767821772416;-0.8329385073339117;-0.14633735220476912;1.0;-0.10293912130478247;-0.0928683050990826;0.17371400022082034;-0.20148430657844943;0.19399710605402137;-0.12626140625102825;0.20810991928945285;-0.2160437566226903;0.1353403580791608;-0.12149516635438966;0.06449341971146154;-0.18826769143518743;0.07531443361658062;-0.10910832754241076;-0.010732425619033037;-0.1338127305147307;0.045705773330978326;-0.22103422151803356;-0.017384327646789936;-0.18456737115179087;-0.014681888913949443;-0.2067371580721284;-0.0304663604674258;-0.0985504966424614;-0.06339147417364621;-0.11638378504123274;0.01243686709023135;-0.21196127643574744;0.022233286233381687;-0.19753327100733523;0.007227398735253911;-0.22690932921237042;0.05988865194201914;-0.12875198358927556;-0.005351954047000442;-0.07815941705828398;-0.018783798355497126;-0.14294856225423985;-0.8097389516033088;0.06141163503539439;0.01743654083366797;0.015677771014281798;0.00035749442942969263;0.01720673857607846;-0.009260688724476728;-0.03321269428319503;-0.00041526761718634075;-0.03301668412824824;-0.01948907664108926;-0.0297325678131497;-0.030431061140344544;-0.055251800457544895;-0.022659774872903864;-0.020073382503691697;-0.011257158497283048;-0.025265822844346676;-0.006555568748206241;-0.00379049945793748;-0.012068979675339975;-0.011130011664588668;0.0025585283807630817;-0.011990350679274533;-0.004923497732766772;-0.023807962468798984;-0.005366230425082736;-0.013089119612136343;0.006576125755993591;-0.02132499277907329;0.010941266845563458;0.0023533586258729995;0.01645620664099154;0.003923298532074935;-0.0035587324415592087;-0.017436650672109217;-0.016994538581312002;-0.022233537818526137;-0.019027317400132946;-0.015742833362660913;-0.021783822607960076;-0.05288344717067947;-0.05960521734536143;-0.024074649443530934;-0.05606353394699735;-0.08400692247191766;-0.07852770758457552;-0.1266880444442586;-0.08042059567225437;-0.058447875979700234;-0.061081709548868234;-0.07467655927429864;-0.03710882802318529;-0.2057607847387289;-0.7697186033168798;-0.6754693182839259;-0.5515105874249566
mfcc3;-0.2713807030492193;-0.267510169786153;-0.09166599929356063;-0.14674987871501483;-0.0462435348517779;-0.3784655381888436;-0.10293912130478247;1.0;-0.06612444681144752;0.42032411261438846;0.1630554008431196;0.20654317768322342;0.1091801424647567;0.06777258536251737;0.2661078356100599;0.06978676887779053;0.2355352834763155;0.01274307039787734;0.17243679670454204;0.0915839000727365;0.18352141195299734;0.05661834903334439;0.10237926294726862;0.036320272373295895;0.09439246505678328;-0.021440816250278598;0.036671678494176324;0.005310456533474695;0.03683517162676664;0.0010637921350441135;0.1203388022841554;0.13490208075477453;0.05865222847416462;0.019390101149190448;0.11745155300004813;-0.07945763199803757;0.19209629885400697;0.005704772853605942;0.051726076146502716;-0.0303504612069102;0.08645578816959427;0.1076639162999456;0.07466474945768069;0.02528695927987731;-0.03523725597870958;0.028880886165718;-0.027694604450838038;-0.015550233775617085;0.038207469239605676;-0.004600781217963652;-0.0021634373627636956;0.0009778177020881313;-0.0060292328022301025;0.0013780194260687984;-0.0025526806690280425;-0.004822649057659357;0.006968657066570219;0.015053441922097347;-0.000517238790214626;0.02028195713517049;-0.0029975037253239193;-0.0015642091413804729;-0.0007054344906147011;-0.00601489511379855;0.001691848023016805;0.006642356236767702;0.024245391461021525;-0.007897285439543726;-0.0038849399709077826;0.0050222270708622915;-0.012992831411663375;-0.011684195634477753;0.008326751694771147;-0.005796536414185801;-0.012238593838506031;0.0062859990455148935;0.013275396917458437;-0.00982014498786127;-0.013977309338358508;-0.00033445714616058545;0.019445016979660338;0.022378371530840584;0.014477402795658775;-0.012883428411337876;0.0019166302112182559;0.010247870650870627;0.16933489138694727;0.17049738900050046;0.14846601057730363;0.1957386062070494;0.1932467720897704;0.1594033451744021;0.12471119147418695;0.1324643392576999;0.15374647544958187;0.20981730634877155;0.2038229459843122;0.15392105821900656;-0.08373121838976093;0.34309562617974915;0.4858129459297133;0.5659366057554498
mfcc4;0.1890256439096817;0.19335378093905384;0.010626788173517523;-0.02872716437808287;0.1955146403966709;0.3120609121071084;-0.0928683050990826;-0.06612444681144752;1.0;0.021601108959762784;0.5151222965932323;0.06624671318627358;0.22934276647364096;-0.0334234404419423;0.19877645312728193;0.03336778822195221;0.03753301029256424;-0.0167291833887783;0.020851491668271337;-0.014018669951619196;0.04917795950727814;0.006143382622311575;-0.05773080780823714;-0.03634554144743057;-0.06311743346751719;-0.001723222931900476;-0.06921977617836497;0.04809679740706177;-0.0027380253444232953;0.06893795406332731;0.0014412104394168122;0.06160240030318134;0.0665538772250108;-0.011116177930582543;0.05160564589955138;0.024263761566763544;0.053817085305242186;-0.04835070130686093;0.030233304422571085;-0.054830895606388985;-0.0167488399273891;-0.0634082209723749;0.018014954826349825;-0.04109274829287386;-0.018468356176686622;0.2549167553794755;0.01649725155710254;0.004706015297315995;-0.017447739287622346;0.04727627969923673;0.033220046986752266;0.062453115867353234;-0.0034495815363676263;-0.009950280969484394;-0.0159315086947091;-0.02449877424432923;-0.037604069029632405;-0.02640636319391329;0.00036748784730359355;-0.029500737809353007;-0.008514479485053945;-0.022349259785946197;-0.023613964925627937;-0.008215242872172707;0.02186957192500703;0.01646725507207566;0.012457116672905447;-0.0025255336868953773;0.011340219690640288;0.018799211597411047;0.007940329163407396;-0.006518394534018367;-0.004798993499776;0.003232392864666836;-0.0011708158184120156;0.0005711736639349001;0.0054464533350836505;0.006448737108044864;0.010982562512015523;0.019685247306309762;-0.00865645786472513;0.00493257153270869;-0.005921547294752946;0.011419931215808176;-0.004447393990503753;-0.0034551748577898505;0.28960560841571764;0.2806728538424294;0.2773137020154641;0.29277780833016837;0.31089472195026174;0.3316856816749204;0.3398502630573234;0.34613542384560264;0.31508084340267245;0.3075839232010324;0.28798385433554397;0.2701371815105379;0.09653344558961374;0.19807259467764993;0.10368887561602934;0.02840232848975542
mfcc5;-0.30445849081052084;-0.2904432368377287;-0.012410848273443164;-0.10279956435299281;-0.23996741193107396;-0.336838340808908;0.17371400022082034;0.42032411261438846;0.021601108959762784;1.0;-0.012502648580819918;0.3636037268590793;0.15063438433167103;0.18622489371564446;0.1809828156200383;0.14859621322148778;0.22684274154637285;0.11801646145801761;0.15021025178320083;0.1351762753416363;0.22791662033601345;0.08459481354747148;0.07248592330675746;0.057406527896507506;0.1469741624342896;0.019777849562878213;0.01915940044602485;0.08887779288132773;0.05812395920394428;0.055204368066744426;0.160082558456663;0.10173371277288966;0.09994498536038718;0.11740536792245296;0.043979318061541636;-0.008352751594614778;0.10090895294279936;0.0399454638919499;-0.01587364519484957;0.030500151966418285;-0.03790226314744299;0.05619981084034999;0.0005654784402729813;0.02927817488083261;-0.022225067451507534;-0.21992197030886268;-0.012631817877285081;-0.02701295138384294;0.02143577071296419;0.009395779375328714;0.02213205996314044;0.050867596713835235;0.005456840594154935;-0.021731284666778806;-0.02295503736071409;-0.0006149434293191314;-0.01901030023646284;0.004809676249834613;0.015695707621623235;-0.027966946346431605;-0.003633767457166103;-0.026582629414037627;-0.0279258279092666;-0.0017256753287546065;0.006722641721999073;0.01016925432153286;-0.017531492407551048;-0.0029224836900344415;-0.012824616216447237;-0.009611101064604097;0.003479161317315155;0.003463619638342344;0.008421943688589048;-0.0064697652653381505;-0.010444163997204358;0.017704390040351497;0.018346076330611003;-0.002650712512167055;0.001408906498001532;0.001104208000416594;-0.02173462448030751;0.0005847476168169968;0.012779594994690079;-0.011314347078678996;-0.009539051414470782;0.006869132793700439;0.1545730642058112;0.12972487701570454;0.14697304774317432;0.20110564393242375;0.20034829754231856;0.16165314468380737;0.15402589239471398;0.14136269899509235;0.12604428705730006;0.13605456187980222;0.1124664010772397;0.1253907790328003;-0.050549683834881454;-0.06511774063575093;0.03361591221138495;0.11206735804214292
