;spectral_flux;spectral_bandwidth_2;spectral_bandwidth_3;spectral_bandwidth_4;class
0;0.97672457;3612.489398572848;5059.672840957934;6350.036897369449;3
1;1.230952;2879.3487007852646;4371.388792059068;5704.29831777151;3
2;0.80758524;4155.482851191842;5592.012046406526;6865.766093885679;3
3;1.6688899;3251.5367355232206;4237.251615462109;5118.726822249753;3
4;1.100447;3493.8840036417077;4750.523204808344;5912.108226147821;6
5;1.1839491;5612.1745819958205;6889.717259941263;8055.061524145254;3
6;1.2379628;5451.807796541856;6774.130419044323;7972.897680561274;3
7;1.2695382;5813.9228899551135;6930.918438617756;7959.511528441862;3
8;1.2842364;5873.596096664977;6952.9208291029845;7945.92611927997;3
9;1.439168;3568.2257327561956;4484.635941629496;5404.279154805244;7
10;1.4674335;3709.246017928641;4609.740674813346;5505.9031625241105;7
11;1.4269304;3626.168795626785;4539.872362069274;5453.821700575128;7
12;1.5310777;3675.4131236795715;4586.843782480568;5499.41464655661;7
13;1.487682;3658.2042808726937;4557.56842320993;5464.749264468587;7
14;1.4689095;3585.21121314203;4464.017875947569;5360.512157092383;7
15;1.495439;3551.7081755456475;4427.352971441319;5324.069935032639;7
16;1.5236849;3551.6617751933027;4445.147211510138;5358.141543025688;7
17;1.6214164;3622.9464488038684;4532.7878366110235;5454.908766033611;7
18;1.621266;3442.035015304828;4395.709760570429;5375.816403326356;7
19;1.4510314;3398.150179095528;4287.746407306077;5213.536441184715;7
20;1.5399181;3538.9922955959332;4370.299258387206;5229.361293509436;7
21;1.5256767;3590.4103101073115;4424.317177182627;5295.334318685706;7
22;1.5461723;3556.6706970360724;4402.211532438998;5289.059303396906;7
23;1.5429659;3394.213286098144;4295.623343548081;5237.818749282794;7
24;1.5150244;3679.162355698309;4492.612442290326;5318.507373151986;7
25;1.4781709;3740.6070737057826;4525.256959221669;5326.5319122100655;7
26;1.4183162;3843.511268969338;4603.625461680209;5367.885307734798;7
27;1.4845628;3898.29244257348;4650.415829323187;5405.726022644797;7
28;1.5093911;3860.137130366219;4634.232651913816;5428.972545568177;7
29;1.5302925;3782.9536180784967;4570.351991413314;5387.413641891213;7
30;1.5508637;3602.1054299328043;4417.5706964238725;5264.128161196151;7
31;1.2040215;2379.2963019581607;3662.771192659678;4968.20016197734;5
32;1.1958625;2400.9812540308594;3679.471711320723;4984.437368388737;5
33;1.1935402;2373.8904723240803;3644.265328001301;4952.072801673436;5
34;1.1955285;2416.110571801012;3674.7797564828106;4971.478064328211;5
35;1.1870441;2394.7784714595186;3656.3019022233675;4959.051937009144;5
36;1.1785184;2389.610230226424;3650.6810651326296;4952.759551394034;5
37;1.176832;2370.614433003674;3627.2567602688487;4921.674920263417;5
38;1.1878935;2332.5933210812887;3590.2265911887953;4875.063485928783;5
39;1.205377;2334.0284270691886;3561.17994100845;4817.933580347487;5
40;1.1881129;2386.7342357382813;3595.251661979547;4833.417907265969;5
41;1.1749581;2522.189540392981;3757.2490889088785;4996.9276687490765;5
42;1.1733092;2603.1044272890667;3843.341967970585;5075.29842637819;5
43;1.18825;2350.815896915181;3621.652482414317;4931.056158707405;5
44;1.1690885;2307.308212882254;3567.076657145214;4873.754767177022;5
45;1.1619039;2341.4315360667606;3595.2374865387364;4890.832427666203;5
46;1.1633468;2366.549395351135;3626.250771967492;4923.760267469441;5
47;1.1783477;2287.251455756345;3521.171825674569;4801.112513021755;5
48;1.184066;2229.0962739506053;3456.6205037801346;4734.1757826064095;5
49;1.1816466;2258.30248122627;3499.5938913179043;4788.885942254522;5
50;1.186208;2308.8482478166234;3570.9343951715105;4876.284618365488;5
51;1.3798362;2853.317903618879;4061.8682177268533;5256.534473665939;2
52;1.3304484;2979.9535533792277;4251.07106511282;5467.181347279339;2
53;1.373329;3277.6660754050627;4542.904013778825;5735.397628387466;2
54;1.3716896;3019.835408474784;4328.687105794856;5568.259256706541;2
55;1.4068545;3047.075748130077;4232.236278520509;5395.923366194364;2
56;1.3539133;2900.9523079000314;4112.0229374018345;5304.167632787067;2
57;1.3817353;2988.1189774665163;4281.21239803618;5527.341414915679;2
58;1.3252867;3024.6988820495217;4421.435954296471;5731.588706318718;2
59;1.2016613;2766.7762644394234;3641.7202663038966;4554.985648986626;8
60;1.2064464;2462.3572351816324;3372.76950816643;4341.206867988893;8
61;1.2219638;2268.02997077651;3242.547736128513;4274.06084266816;8
62;1.203774;2233.392971920354;3233.711025044176;4301.1451381595425;8
63;1.112044;2457.355111134867;3483.4413216731955;4625.332764311255;9
64;1.1086359;2625.5253542011224;3655.3129259885964;4768.968834391436;9
65;1.1003362;2386.9224368581404;3402.998761754151;4534.603075788811;9
66;1.0578824;2470.038101652364;3528.429261943933;4701.596955928746;9
67;1.0596554;2528.953764755098;3619.972886107729;4809.158939709034;9
68;1.09871;2584.494523779928;3630.8854268981804;4770.354721676665;9
69;1.1083944;2518.9138846533037;3560.3219841787995;4711.517947914031;9
70;1.2847489;2256.1717249632907;3402.3354586431624;4579.061919912821;2
71;1.2938356;2381.615156647348;3545.6992119747347;4733.539282124669;2
72;1.2391022;2719.6872947439324;3765.6238482163394;4827.231908181561;2
73;1.2340394;2459.113116207758;3580.2774077299705;4739.793669631138;2
74;1.2190877;2298.1534148642622;3477.345844487271;4658.277709675002;2
75;1.2461675;2496.7580926272767;3699.216649099238;4888.080564835036;2
76;1.2225894;2653.3894791955286;3773.8836916371984;4902.72549035863;2
77;1.2797761;2492.390865397535;3575.409418438174;4688.833870558491;2
78;1.2239158;1721.8248467432995;3187.372541775685;4566.631962811102;5
79;1.1930921;1607.9588549492212;3044.9210090469915;4411.892200827035;5
80;1.2797734;1645.2291405804388;3100.087433651526;4478.247122131031;5
81;1.3065097;1699.9965023130374;3164.336976505147;4548.382752399984;5
82;1.2952666;1683.9509700665474;3141.7102673423897;4522.545348057396;5
83;1.289407;1690.8334430600726;3148.5670240288478;4527.750415476731;5
84;1.2901624;1692.8091440999226;3159.3746067754114;4542.784878845137;5
85;1.2968367;1689.0736309960666;3153.596540487839;4535.025564730889;5
86;1.2971762;1688.2569463646296;3150.1703014055247;4529.574775877495;5
87;1.310578;1667.8870487878764;3123.0463278581456;4498.688989428726;5
88;1.3061256;1669.718600978297;3121.8118044891717;4495.04045654603;5
89;1.3898818;3184.254562644717;4287.449137783064;5408.505028543285;3
90;1.7678725;2728.600620934253;3680.716760107072;4702.279579757677;3
91;1.8508117;2953.6430950288686;3943.3642872917;4982.015429785024;3
92;1.5262349;2915.818435694233;4043.515950613212;5211.064713642491;3
93;1.1775272;3304.482136864573;4639.08735631651;5866.894693850069;3
94;1.3289583;4403.9984394117355;5722.225964092258;6904.640580448677;3
95;1.3456193;4342.317258572691;5627.033995474922;6783.048708553542;3
